City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,buchanan,5.8808,-10.0467,77.38,91,100,4.72,LR,1675824784
320,sunrise,26.1577,-80.2861,75.0,67,40,10.36,US,1675824784
321,katsuura,35.1333,140.3,51.82,69,99,18.63,JP,1675824785
322,esqueda,30.7167,-109.5833,43.92,29,0,6.17,MX,1675824761
323,baglan,36.1307,68.7083,47.68,33,68,1.43,AF,1675824786
324,olafsvik,64.8945,-23.7142,27.77,56,100,29.28,IS,1675824786
325,brownsville,25.9018,-97.4975,73.4,95,75,10.36,US,1675824626
326,vestmannaeyjar,63.4427,-20.2734,32.99,53,100,38.32,IS,1675824787
327,karratha,-20.7377,116.8463,95.13,37,42,10.09,AU,1675824788
328,luis correia,-2.8792,-41.6669,76.35,88,100,6.46,BR,1675824789
329,leh,34.1667,77.5833,-0.51,65,10,2.39,IN,1675824789
330,novikovo,51.1537,37.8879,10.94,93,6,9.13,RU,1675824790
331,ulladulla,-35.35,150.4667,68.11,81,100,3.0,AU,1675824791
332,baymak,52.5933,58.3225,-3.68,99,85,5.1,RU,1675824793
333,kjollefjord,70.9457,27.3465,35.65,69,46,23.02,NO,1675824794
334,sao lourenco do sul,-31.3653,-51.9783,71.19,77,0,9.8,BR,1675824795
335,praia da vitoria,38.7333,-27.0667,55.65,71,75,11.14,PT,1675824796
336,mount gambier,-37.8333,140.7667,73.53,44,14,11.39,AU,1675824796
337,wajid,3.8093,43.2471,71.92,67,0,14.67,SO,1675824797
338,miri,4.4148,114.0089,84.34,74,20,4.61,MY,1675824798
339,zlobin,45.2924,14.6541,25.9,52,0,10.36,HR,1675824798
340,george,-33.963,22.4617,63.95,94,100,11.5,ZA,1675824799
341,goderich,43.7501,-81.7165,35.92,87,100,11.5,CA,1675824799
342,san cristobal,7.7669,-72.225,69.98,78,12,1.74,VE,1675824800
343,la ronge,55.1001,-105.2842,30.45,47,0,10.36,CA,1675824801
